WKT,OBJECTID,AncillaryR,Enabled
"POINT (-93.23614944353659 44.945405886544805)",421,0,1
"POINT (-93.233533397749923 44.941577133629757)",422,0,1
"POINT (-93.232903833310331 44.940669030625038)",423,0,1
"POINT (-93.232255047664438 44.939718697660034)",424,0,1
"POINT (-93.229783457005709 44.936108589912592)",425,0,1
"POINT (-93.230392368798789 44.936997739609133)",426,0,1
"POINT (-93.234445047779289 44.957300041603432)",427,0,1
"POINT (-93.234810364500845 44.956457184568144)",428,0,1
"POINT (-93.234608501196746 44.950281557790788)",429,0,1
"POINT (-93.234843387228011 44.950037152163667)",430,0,1
"POINT (-93.234387671822518 44.948263415007197)",431,0,1
"POINT (-93.233281745095027 44.947985573828952)",434,0,1
"POINT (-93.231553800794956 44.957494913340028)",435,0,1
"POINT (-93.231311332646868 44.957308616580868)",436,0,1
"POINT (-93.231567323257593 44.95371400950004)",437,0,1
"POINT (-93.231365047633105 44.951912623151621)",438,0,1
"POINT (-93.229973336119187 44.957487227615516)",439,0,1
"POINT (-93.230041300939831 44.957306092321126)",440,0,1
"POINT (-93.230011642820273 44.953881703636007)",441,0,1
"POINT (-93.230035080331533 44.952091638804511)",442,0,1
"POINT (-93.228381636711134 44.957513615375838)",443,0,1
"POINT (-93.228407530927115 44.955721476636334)",444,0,1
"POINT (-93.227149710680294 44.955520830628338)",445,0,1
"POINT (-93.225305307070983 44.957315002858628)",446,0,1
"POINT (-93.220996968392996 44.957525113534828)",447,0,1
"POINT (-93.223808618626279 44.9573158940632)",448,0,1
"POINT (-93.224354077507044 44.951824094502349)",449,0,1
"POINT (-93.224358421072864 44.950297206015577)",450,0,1
"POINT (-93.222528096078065 44.957525133761315)",451,0,1
"POINT (-93.222816439073512 44.955519876460173)",452,0,1
"POINT (-93.222987169787842 44.950306892729159)",453,0,1
"POINT (-93.221033781905845 44.955712788400653)",454,0,1
"POINT (-93.221732856907778 44.951832745558896)",455,0,1
"POINT (-93.221730046547819 44.950305698475645)",456,0,1
"POINT (-93.219473062217205 44.957249971897674)",457,0,1
"POINT (-93.219496595590542 44.955715851774421)",458,0,1
"POINT (-93.219184283054034 44.953942583760899)",459,0,1
"POINT (-93.219179673054356 44.951834887330968)",460,0,1
"POINT (-93.217955587075053 44.955705228082707)",461,0,1
"POINT (-93.217906798365547 44.953916329750363)",462,0,1
"POINT (-93.217906929085331 44.951831877505924)",463,0,1
"POINT (-93.217905491378119 44.950301248252579)",464,0,1
"POINT (-93.216638414349589 44.954216864562703)",465,0,1
"POINT (-93.216627732644199 44.953642801136922)",466,0,1
"POINT (-93.216632415825842 44.952108447914277)",467,0,1
"POINT (-93.216630752796647 44.950300384378615)",468,0,1
"POINT (-93.215346035101504 44.950300097137259)",469,0,1
"POINT (-93.214980068879655 44.948263527801544)",470,0,1
"POINT (-93.214194701606857 44.953733445986991)",471,0,1
"POINT (-93.239206186101072 44.955013526999522)",472,0,1
"POINT (-93.214074064582775 44.948805792501588)",473,0,1
"POINT (-93.213842775307086 44.948268129901081)",474,0,1
"POINT (-93.212830481605934 44.952824369012546)",475,0,1
"POINT (-93.212803346832615 44.952108040320482)",476,0,1
"POINT (-93.211527539285541 44.95029830520965)",477,0,1
"POINT (-93.210159749311984 44.951043121729803)",478,0,1
"POINT (-93.21001502779275 44.948257034207685)",479,0,1
"POINT (-93.208835334772118 44.950157745970813)",480,0,1
"POINT (-93.207681204594451 44.949198706995787)",481,0,1
"POINT (-93.207466482392178 44.9482602424807)",482,0,1
